StudentID,Age,StudyHours,Attendance,PreviousGPA,AssignmentsCompleted,SleepHours,InternetHours,Scholarship,Program,FinalGrade
STU-11248,22.0,11.63,67.78,6.71,83.02,7.4,4.53,No,Ingeniería Industrial,3.95
STU-11483,22.0,,70.26,4.61,58.29,7.91,5.8,Sí,Administración,2.97
STU-11197,27.0,,81.31,6.11,71.63,5.47,16.84,Sí,Ingeniería Industrial,4.03
STU-12355,21.0,6.26,70.36,5.74,87.88,6.47,7.98,No,Ingeniería Industrial,2.9
STU-13295,23.0,9.02,73.64,5.73,78.43,6.36,4.18,Sí,Contador Auditor,4.48
STU-11954,24.0,6.61,83.57,6.17,79.86,7.83,5.74,Sí,Ingeniería Informática,4.98
STU-10190,18.0,2.45,62.45,6.17,42.57,7.3,4.6,No,Ingeniería Informática,2.12
STU-14114,23.0,23.32,,7.0,100.0,8.0,,No,Ingeniería Industrial,4.76
STU-12753,27.0,10.19,83.87,5.31,76.83,8.34,3.1,No,Ingeniería Civil,3.73
STU-10158,19.0,,73.05,4.75,69.78,8.42,4.64,No,Contador Auditor,2.73
STU-13760,21.0,11.5,78.02,5.3,78.71,7.18,9.63,No,Contador Auditor,3.44
STU-14372,18.0,15.34,83.08,6.45,100.0,8.38,3.81,No,Ingeniería Informática,5.85
STU-12012,20.0,11.77,81.32,5.69,96.69,8.01,3.85,No,Ingeniería Civil,4.85
STU-14911,18.0,10.97,81.1,5.38,67.88,6.39,1.56,Sí,Contador Auditor,3.61
STU-10960,22.0,12.51,89.56,6.32,75.7,7.57,6.96,,Ingeniería Informática,4.98
STU-10689,21.0,14.33,98.91,6.13,,7.43,8.33,No,Ingeniería Civil,4.63
STU-14852,23.0,16.53,,5.46,78.31,7.37,3.73,No,Contador Auditor,4.2
STU-12737,24.0,15.88,93.79,4.31,100.0,8.84,1.86,No,Ingeniería Civil,4.34
STU-13404,30.0,9.11,72.34,5.21,93.26,5.25,3.76,Sí,Ingeniería Informática,4.47
STU-11485,20.0,9.38,74.42,5.34,67.34,7.86,3.74,Sí,Ingeniería Industrial,2.87
STU-11178,26.0,9.48,73.63,6.13,73.63,,18.0,Sí,Administración,4.31
STU-14613,19.0,11.14,67.47,5.16,,6.82,10.61,No,Ingeniería Civil,2.59
STU-11696,29.0,3.26,85.9,4.89,54.49,5.94,5.1,Sí,Contador Auditor,3.09
STU-12164,27.0,18.22,92.17,5.13,100.0,6.01,13.0,Sí,Ingeniería Industrial,4.93
STU-11377,23.0,15.54,84.69,6.34,78.21,8.16,7.94,No,Ingeniería Civil,4.64
STU-14598,19.0,14.14,83.44,6.75,84.11,7.79,9.96,No,Ingeniería Industrial,5.37
STU-14485,26.0,16.24,93.52,5.59,80.02,6.07,2.78,Sí,Contador Auditor,4.77
STU-11929,28.0,11.09,58.28,5.2,,9.89,3.77,Sí,Administración,3.46
STU-14822,23.0,16.78,100.0,6.47,100.0,8.11,4.97,No,Ingeniería Industrial,5.69
STU-12423,22.0,9.44,100.0,5.74,100.0,5.87,6.84,No,Ingeniería Civil,4.17
STU-13876,28.0,21.32,100.0,5.79,100.0,6.95,7.58,No,Contador Auditor,4.59
STU-10355,23.0,20.83,94.0,7.0,100.0,5.85,8.45,No,Contador Auditor,5.03
STU-10941,21.0,4.15,76.61,5.13,78.81,6.28,7.44,Sí,Ingeniería Industrial,2.99
STU-10730,24.0,14.56,86.07,6.04,100.0,6.57,14.0,Sí,Ingeniería Informática,4.3
STU-10223,26.0,21.19,100.0,7.0,100.0,7.23,9.08,Sí,Administración,5.85
STU-14173,23.0,12.19,88.99,5.85,86.79,6.36,1.55,Sí,Ingeniería Informática,5.19
STU-10721,31.0,10.42,90.81,6.0,100.0,6.01,3.86,No,Contador Auditor,4.42
STU-11340,26.0,,91.13,6.13,93.38,6.38,,No,Contador Auditor,5.25
STU-10781,24.0,7.72,79.02,5.36,79.92,5.91,10.45,No,Ingeniería Informática,3.69
STU-14310,22.0,3.7,74.5,4.76,67.8,7.2,0.66,Sí,Administración,3.09
STU-13245,25.0,7.17,78.84,5.59,82.02,7.01,4.88,Sí,Ingeniería Civil,3.43
STU-13712,20.0,11.46,81.27,5.84,82.42,7.34,16.94,Sí,Ingeniería Informática,3.85
STU-11966,22.0,8.58,85.14,5.28,98.51,7.72,2.09,No,Ingeniería Industrial,4.7
STU-13046,21.0,9.28,52.73,4.25,66.79,6.59,3.83,No,Contador Auditor,2.49
STU-13878,27.0,6.03,73.15,4.68,69.88,8.28,1.32,Sí,Ingeniería Informática,3.76
STU-12575,22.0,14.4,,7.0,88.74,6.36,3.25,No,Ingeniería Industrial,4.81
STU-14891,22.0,6.35,98.46,5.09,100.0,7.87,14.98,No,Ingeniería Civil,4.67
STU-14665,18.0,7.47,73.05,5.11,79.92,3.9,5.17,Sí,Ingeniería Informática,3.24
STU-10690,34.0,8.07,73.28,5.14,77.85,6.48,1.47,No,Ingeniería Informática,3.04
STU-10531,20.0,5.44,77.45,4.18,50.29,5.44,9.95,No,Ingeniería Civil,1.58
STU-13733,18.0,12.16,83.97,5.95,74.69,6.46,4.18,Sí,Ingeniería Civil,3.56
STU-12911,27.0,14.27,98.11,5.94,98.3,8.1,8.14,No,Ingeniería Industrial,5.12
STU-12694,21.0,13.96,75.32,,90.32,8.5,0.65,No,Administración,3.92
STU-12843,24.0,8.57,63.51,5.27,,6.4,3.95,Sí,Ingeniería Informática,2.26
STU-11959,26.0,5.64,75.73,4.6,66.4,6.38,2.24,No,Ingeniería Civil,2.91
STU-11479,21.0,15.81,82.41,5.04,92.28,8.12,7.15,No,Ingeniería Informática,4.25
STU-13252,19.0,17.77,91.54,,100.0,8.15,6.78,No,Contador Auditor,4.9
STU-14695,24.0,17.45,100.0,6.15,100.0,6.08,9.07,Sí,Contador Auditor,5.64
STU-11213,18.0,11.28,85.76,5.32,78.84,9.54,7.42,No,Administración,4.51
STU-12050,25.0,8.53,80.64,4.84,75.3,7.77,8.4,No,Contador Auditor,3.61
STU-12957,18.0,10.36,74.16,4.75,63.43,6.55,6.48,No,Administración,3.36
STU-10954,18.0,13.24,68.22,6.81,63.98,7.84,3.58,Sí,Contador Auditor,3.96
STU-14044,18.0,22.87,88.86,5.25,100.0,6.62,5.92,No,Ingeniería Informática,4.69
STU-14633,25.0,18.13,100.0,7.0,86.65,6.32,12.2,No,Ingeniería Civil,5.16
STU-10032,18.0,,87.7,5.87,71.83,8.32,6.5,No,Ingeniería Informática,3.45
STU-13265,23.0,18.84,99.63,6.05,60.32,7.0,7.04,No,Administración,4.55
STU-12774,18.0,12.78,75.28,4.21,95.26,8.79,2.86,No,Ingeniería Informática,4.26
STU-10335,22.0,10.36,81.98,4.87,67.87,8.86,3.04,No,Ingeniería Informática,4.09
STU-14735,24.0,8.66,80.62,6.27,87.25,6.74,8.56,Sí,Ingeniería Informática,3.61
STU-14356,21.0,12.57,85.78,5.95,78.0,7.07,9.9,No,Ingeniería Civil,4.49
STU-14102,27.0,11.39,92.78,5.0,100.0,6.08,2.31,Sí,Ingeniería Informática,3.66
STU-10451,21.0,12.92,95.12,5.52,88.68,6.24,2.38,No,,4.3
STU-14669,25.0,19.67,90.6,,100.0,5.1,7.68,No,Ingeniería Informática,5.0
STU-10343,28.0,15.96,85.55,,99.44,6.32,6.32,No,Administración,4.59
STU-13461,30.0,14.89,95.88,5.9,100.0,8.01,5.2,No,Contador Auditor,5.65
STU-11464,21.0,17.6,95.17,5.01,80.47,5.87,5.61,No,Ingeniería Civil,3.83
STU-10469,18.0,5.45,71.15,5.15,54.69,6.81,6.8,Sí,Ingeniería Informática,3.18
STU-11632,18.0,11.27,78.6,5.48,78.91,7.84,7.35,Sí,Ingeniería Industrial,4.15
STU-13963,21.0,27.54,99.02,7.0,100.0,5.78,18.0,Sí,Ingeniería Informática,5.72
STU-11684,18.0,16.56,89.78,6.69,100.0,6.0,3.12,No,Contador Auditor,4.81
STU-12133,24.0,1.0,73.8,4.69,58.93,5.44,3.05,No,Contador Auditor,1.59
STU-12172,27.0,16.05,92.33,4.75,100.0,7.06,4.47,No,Ingeniería Civil,4.36
STU-14374,27.0,15.55,96.58,4.9,100.0,4.98,3.19,Sí,Ingeniería Industrial,4.68
STU-12123,25.0,9.68,100.0,5.25,76.73,6.25,5.45,No,Ingeniería Civil,3.36
STU-12763,18.0,11.2,88.16,4.71,,7.05,13.16,No,Ingeniería Civil,3.91
STU-12016,35.0,14.08,100.0,6.37,100.0,8.72,11.12,Sí,Ingeniería Industrial,5.16
STU-12803,26.0,11.66,92.61,6.24,,6.65,4.86,No,Administración,4.27
STU-13558,26.0,19.01,96.34,6.63,100.0,6.02,14.96,,Ingeniería Informática,6.53
STU-10831,22.0,11.91,95.01,5.75,83.83,4.87,11.86,No,Ingeniería Informática,4.7
STU-13988,21.0,1.88,80.15,4.93,,9.72,4.82,No,Ingeniería Informática,2.44
STU-11998,35.0,12.84,81.99,6.33,64.08,6.57,4.3,Sí,Administración,3.58
STU-14295,19.0,11.04,100.0,5.12,100.0,7.47,2.78,Sí,Contador Auditor,4.41
STU-13945,25.0,11.85,92.95,5.57,100.0,6.13,5.57,Sí,Ingeniería Civil,4.6
STU-14290,27.0,16.39,93.0,5.73,100.0,6.37,1.7,No,Ingeniería Industrial,4.98
STU-11925,20.0,11.81,77.73,5.5,88.25,6.82,7.43,No,Ingeniería Industrial,4.39
STU-13280,30.0,16.59,81.78,5.61,100.0,4.58,11.1,Sí,Ingeniería Informática,4.22
STU-10011,24.0,2.94,51.38,4.9,71.87,8.37,4.25,No,Ingeniería Informática,2.23
STU-10869,22.0,18.3,83.08,6.76,96.54,6.9,2.22,Sí,Ingeniería Informática,6.17
STU-12058,26.0,5.83,66.16,5.0,64.32,8.84,5.5,No,Ingeniería Civil,2.51
STU-12912,32.0,11.87,91.73,5.52,97.97,6.68,3.84,No,Ingeniería Industrial,4.8
STU-10407,,8.34,94.73,3.52,85.15,9.15,8.15,No,Contador Auditor,3.54
STU-12684,27.0,5.84,88.75,4.9,100.0,7.24,4.84,No,Contador Auditor,4.36
STU-10246,21.0,10.35,76.82,5.31,82.57,5.92,8.27,Sí,Ingeniería Industrial,4.17
STU-10250,23.0,1.91,79.14,5.65,60.33,7.24,10.77,No,Ingeniería Civil,3.97
STU-14631,25.0,10.0,79.99,5.27,74.26,8.43,3.63,Sí,Ingeniería Informática,3.9
STU-10434,21.0,9.01,78.29,4.73,56.52,8.95,,No,Contador Auditor,2.86
STU-13703,29.0,9.95,100.0,,92.03,7.76,10.99,Sí,Ingeniería Civil,4.51
STU-13724,18.0,18.05,81.1,4.99,100.0,7.37,4.05,No,Administración,4.34
STU-11326,22.0,12.8,74.25,6.02,87.58,6.43,6.95,Sí,,4.27
STU-14661,29.0,9.78,100.0,6.02,100.0,6.5,7.16,Sí,Ingeniería Industrial,4.6
STU-11627,27.0,11.55,,5.0,75.58,7.75,2.4,No,Ingeniería Civil,3.27
STU-12306,30.0,,,4.15,63.09,6.69,4.52,No,Ingeniería Civil,1.44
STU-12405,26.0,3.27,65.93,6.51,58.36,8.46,10.73,Sí,Ingeniería Civil,5.05
STU-12139,27.0,5.97,73.83,4.42,60.29,4.82,9.42,No,Administración,2.67
STU-11358,25.0,10.88,96.13,5.77,83.52,6.96,14.67,No,Contador Auditor,4.3
STU-10956,19.0,23.19,100.0,5.96,100.0,7.87,5.53,No,Contador Auditor,5.03
STU-12457,23.0,13.2,87.34,5.77,92.25,9.04,7.5,No,Ingeniería Civil,4.52
STU-10938,24.0,8.73,99.01,6.3,96.44,6.33,7.47,No,Administración,5.41
STU-14234,29.0,4.17,,4.73,80.81,7.79,8.96,Sí,Administración,1.84
STU-11535,31.0,,84.77,4.36,72.01,8.3,13.44,Sí,Ingeniería Industrial,3.42
STU-10222,25.0,1.62,77.32,5.03,81.82,5.46,1.36,No,Ingeniería Industrial,2.21
STU-11859,23.0,19.07,82.8,6.49,100.0,6.63,9.36,Sí,Ingeniería Industrial,5.18
STU-11717,24.0,9.0,87.8,5.63,62.06,8.22,2.16,No,Ingeniería Civil,3.41
STU-13844,26.0,13.48,86.26,4.87,84.85,5.63,6.14,No,Contador Auditor,4.0
STU-10403,20.0,18.63,91.73,5.34,100.0,4.92,2.39,No,Ingeniería Civil,4.02
STU-14294,21.0,10.41,80.91,5.14,100.0,9.39,6.5,Sí,Ingeniería Informática,5.01
STU-13642,24.0,21.6,97.79,5.85,100.0,7.03,1.64,No,Ingeniería Civil,4.85
STU-14159,18.0,10.88,90.88,4.57,77.14,6.51,13.24,Sí,Ingeniería Informática,3.26
STU-13801,25.0,16.22,94.73,,100.0,4.6,3.69,No,Administración,5.44
STU-11445,18.0,16.98,97.61,5.33,100.0,4.32,4.96,No,Administración,5.08
STU-12410,20.0,5.17,62.01,4.58,59.32,7.69,5.37,No,Ingeniería Industrial,2.43
STU-10763,22.0,23.36,83.6,7.0,100.0,7.83,7.8,Sí,Ingeniería Informática,6.32
STU-13533,18.0,15.62,81.0,6.13,73.3,,2.5,No,Ingeniería Civil,4.63
STU-13296,21.0,14.72,79.87,6.45,100.0,7.28,11.84,No,Administración,5.18
STU-12894,29.0,6.27,82.66,5.53,94.31,6.45,3.91,No,Ingeniería Informática,3.5
STU-10582,22.0,16.71,84.22,6.85,94.05,5.49,8.84,Sí,Ingeniería Industrial,5.13
STU-13500,23.0,6.73,79.74,5.7,72.16,7.47,,Sí,Ingeniería Informática,3.71
STU-12433,30.0,17.4,85.38,5.74,82.69,6.37,5.23,No,Ingeniería Industrial,4.85
STU-14955,22.0,14.8,99.71,6.13,96.01,5.46,4.02,No,Ingeniería Informática,5.18
STU-14679,24.0,23.81,100.0,6.52,100.0,6.53,6.62,No,Administración,5.74
STU-13169,28.0,,72.23,4.8,100.0,7.73,7.68,Sí,Ingeniería Civil,2.76
STU-11412,27.0,12.01,98.59,5.26,85.61,5.8,4.85,No,Ingeniería Informática,3.88
STU-12317,22.0,13.63,79.91,5.65,,9.0,18.0,Sí,Ingeniería Informática,4.83
STU-11060,28.0,20.18,100.0,,100.0,8.08,2.23,Sí,Ingeniería Industrial,5.18
STU-14385,18.0,5.22,74.15,5.78,74.1,9.65,4.39,No,Ingeniería Informática,3.74
STU-13828,28.0,8.0,78.93,4.65,55.89,5.84,4.28,No,Ingeniería Industrial,2.62
STU-13248,21.0,9.41,70.7,5.79,62.38,5.49,11.34,Sí,Ingeniería Civil,3.15
STU-12357,27.0,8.25,92.17,5.11,78.43,7.44,4.92,Sí,Administración,4.57
STU-13520,22.0,8.98,91.23,5.66,81.37,7.65,7.5,No,Ingeniería Informática,3.99
STU-10419,19.0,10.06,75.91,4.85,100.0,7.43,3.51,No,INGENIERÍA INFORMÁTICA,4.13
STU-12020,22.0,20.55,92.22,6.93,100.0,9.12,4.88,No,Contador Auditor,5.65
STU-13435,18.0,19.57,100.0,5.87,88.0,7.77,3.97,No,Ingeniería Informática,4.29
STU-12526,27.0,16.23,92.34,6.17,,6.74,8.07,No,Administración,5.49
STU-11431,31.0,12.09,66.17,4.44,95.57,9.48,2.39,No,Ingeniería Civil,3.08
STU-14371,24.0,6.27,70.08,4.14,55.39,7.06,5.1,Sí,Ingeniería Informática,2.39
STU-10270,24.0,4.47,97.55,5.1,54.27,8.11,5.24,Sí,Ingeniería Informática,3.21
STU-11124,23.0,14.21,94.37,5.38,86.04,6.55,12.01,No,Ingeniería Industrial,4.38
STU-10852,18.0,18.73,86.75,6.82,100.0,7.23,9.77,Sí,Ingeniería Civil,5.42
STU-10901,24.0,7.02,80.26,5.95,87.53,9.99,2.43,Sí,Ingeniería Industrial,5.58
STU-13491,25.0,17.32,86.41,6.26,100.0,5.46,7.4,Sí,Ingeniería Informática,4.48
STU-14751,23.0,15.33,91.28,6.15,85.28,8.14,6.45,No,Contador Auditor,5.04
STU-14014,29.0,8.19,77.33,5.75,,5.91,3.72,No,Ingeniería Civil,3.09
STU-10593,23.0,18.68,88.64,6.69,100.0,5.34,68.11627822096953,Sí,Ingeniería Industrial,4.91
STU-11687,25.0,5.94,74.35,5.05,62.83,7.02,4.68,No,Ingeniería Informática,2.19
STU-13121,23.0,6.75,66.38,3.55,70.09,7.22,2.78,No,Ingeniería Informática,2.84
STU-11498,18.0,13.13,67.57,5.75,87.72,7.53,11.55,No,Ingeniería Industrial,3.69
STU-10510,29.0,19.87,96.65,6.44,100.0,5.4,3.65,Sí,Administración,5.89
STU-14183,25.0,19.8,100.0,5.9,93.62,8.67,3.96,No,Contador Auditor,5.13
STU-13581,22.0,13.81,85.89,4.44,100.0,5.65,1.62,No,Contador Auditor,3.09
STU-12129,25.0,6.02,73.45,6.17,81.41,7.0,8.68,,Administración,3.19
STU-10390,26.0,14.56,79.04,5.89,100.0,9.01,2.79,Sí,Ingeniería Informática,4.61
STU-10574,23.0,13.86,82.19,5.44,91.06,6.98,8.73,No,Ingeniería Civil,4.49
STU-12767,20.0,5.18,82.56,5.59,81.79,6.63,9.14,Sí,Administración,4.08
STU-11937,24.0,,88.18,5.87,81.17,5.24,7.55,No,Ingeniería Informática,4.77
STU-14010,20.0,17.05,75.73,7.0,100.0,6.42,3.62,No,Ingeniería Informática,4.61
STU-14848,20.0,9.39,86.0,4.98,82.36,5.08,6.65,Sí,Ingeniería Civil,4.19
STU-14011,25.0,5.96,81.5,5.39,75.05,5.73,4.6,Sí,Contador Auditor,3.77
STU-11150,22.0,13.56,94.71,6.38,85.33,7.72,12.16,Sí,Ingeniería Informática,5.96
STU-13651,25.0,19.18,66.0,5.25,100.0,7.34,5.51,No,Administración,4.74
STU-14882,27.0,19.92,97.09,7.0,100.0,6.65,3.69,No,Contador Auditor,5.05
STU-13794,25.0,14.43,83.4,4.59,100.0,6.45,6.54,No,Ingeniería Civil,3.99
STU-10494,18.0,6.33,84.4,5.35,59.79,6.19,4.34,No,Administración,2.97
STU-10435,29.0,14.74,86.7,5.88,71.72,8.19,4.19,No,Ingeniería Informática,4.41
STU-13045,20.0,,88.31,5.61,91.03,6.91,2.81,No,,4.3
STU-13425,24.0,4.47,89.32,6.71,80.23,9.13,3.98,No,Ingeniería Industrial,4.58
STU-11146,25.0,11.34,75.32,6.12,98.2,6.58,7.97,Sí,Ingeniería Informática,4.21
STU-12411,24.0,21.54,91.43,5.65,100.0,8.06,4.23,No,Contador Auditor,5.95
STU-13476,27.0,16.27,92.7,5.49,100.0,5.83,5.11,Sí,Ingeniería Industrial,4.37
STU-12872,,12.2,80.96,5.54,81.02,6.82,1.53,No,Ingeniería Civil,-1.3282449633042135
STU-13130,19.0,9.42,,6.2,79.58,6.07,6.66,Sí,Ingeniería Informática,3.9
STU-13931,25.0,1.0,67.97,4.47,53.34,5.97,11.03,Sí,,2.38
STU-13115,19.0,12.61,80.42,5.23,82.43,8.15,6.66,No,Administración,3.66
STU-10294,20.0,14.8,88.85,5.72,100.0,8.93,2.43,Sí,Ingeniería Civil,4.82
STU-14185,20.0,15.09,77.67,4.56,91.15,9.13,7.51,No,Ingeniería Informática,4.08
STU-11784,24.0,7.51,69.15,5.72,91.95,8.4,2.2,Sí,Contador Auditor,3.89
STU-11157,24.0,5.35,75.07,6.29,59.73,6.73,3.62,No,Ingeniería Informática,3.08
STU-12760,,,79.25,4.82,100.0,5.68,5.61,Sí,Ingeniería Informática,3.88
STU-13823,18.0,15.55,93.09,6.45,90.98,6.18,1.08,No,Ingeniería Industrial,3.97
STU-11147,18.0,14.57,,6.29,86.94,9.58,1.52,No,Ingeniería Industrial,4.89
STU-11063,22.0,10.55,89.73,5.01,90.73,6.11,13.77,Sí,Ingeniería Industrial,3.7
STU-10491,26.0,10.0,79.14,3.95,77.74,5.23,4.01,No,Ingeniería Civil,3.48
STU-10746,29.0,10.14,68.4,5.3,85.58,6.14,2.58,No,Administración,3.65
STU-11923,28.0,8.52,73.74,5.49,78.27,9.15,5.1,NO,Ingeniería Civil,3.53
STU-10815,18.0,23.87,,5.99,100.0,7.7,10.72,No,Ingeniería Industrial,6.14
STU-12060,18.0,5.98,75.65,4.53,75.88,8.08,3.44,No,Ingeniería Civil,3.33
STU-11930,22.0,7.92,85.59,,73.95,7.75,6.98,No,Administración,3.56
STU-12658,28.0,18.53,84.8,5.96,100.0,5.29,2.19,Sí,Administración,3.76
STU-10790,19.0,19.07,100.0,5.72,100.0,7.45,9.62,No,Ingeniería Civil,4.72
